case,arm,rounds,phase,pair,order,mode,milliseconds,input_sha256,stdout_sha256
random-8-churn,scan,0,contract,0,0,ubsan,0,2e95f26b92198fd0ea3c24132f4133e9597e8da437088b4a6e2004f0aed72d08,35b0d9eb5e30100afd84750054763e67b23260d0ed47239192f6fb687b6dba87
random-8-churn,scan,1,contract,0,0,ubsan,0,69cf44c4c35fc5c5c95ba01deec9d3aca1576b877c87ad7127a1354d15b221f2,97a89f85c905e700335927eeb316d90d5d9ec5155d7619939d0b48fe3a83ea30
random-8-churn,scan,3,contract,0,0,ubsan,0,530059531e6ab7ce316278e213c7381554485001f2eff9c1438b851e0aeff519,7fc5ff91e193b6205c8500bdd2cfa471f0604c71c650903f498d3da3c3ba8edd
random-64-hits,hash,0,contract,0,0,ubsan,0,8e2150ae25b61d0ff7f2c6b5a03e5c6be6e007a5378d330f63a221dd6f167b9f,3cd2757b88eef76b856f6fa49d7edbfe6b253a7bd37e0ec1d42538c5df88a900
random-64-hits,hash,1,contract,0,0,ubsan,0,64144ba4af5955f36ae331d2608b9e0e0a0e79d40faf59e535f3fb2d923fef8f,8518229c5f49012e5e480171a1be9f69271ccc80c2c2f22c368d9c9dc9c1cec0
random-64-hits,hash,3,contract,0,0,ubsan,0,1b130b8fa2e446467bbec164981c616d9429e5f9eea0705aaa6046101b10cb79,1c62cf02dbe099fa896fbeff9f8c327e3c9195a823785cc8c6d338f934416298
random-64-hits,scan,0,contract,0,0,ubsan,0,8e2150ae25b61d0ff7f2c6b5a03e5c6be6e007a5378d330f63a221dd6f167b9f,7af05754803016015c365719d6113954bbf5bff4569d85bb5f06d76d671a4ecf
random-64-hits,scan,1,contract,0,0,ubsan,0,64144ba4af5955f36ae331d2608b9e0e0a0e79d40faf59e535f3fb2d923fef8f,118edc04f59bb5fa762de269f54872bf53420f18f8c2125c212d0acd75b08baf
random-64-hits,scan,3,contract,0,0,ubsan,0,1b130b8fa2e446467bbec164981c616d9429e5f9eea0705aaa6046101b10cb79,1dcf4514335ab6179d79a2d0dc59191c3cbfedf9a4fc1640fd7f66c14e3a4b87
random-64-misses,hash,0,contract,0,0,ubsan,0,63d480c43fbc8eaf0af856c9ea458a53e4ef92f2ec72800bb10c370d077f6cef,3cd2757b88eef76b856f6fa49d7edbfe6b253a7bd37e0ec1d42538c5df88a900
random-64-misses,hash,1,contract,0,0,ubsan,0,0c407c404d4d434fa13b56a657500d15b7667f3511aa8041b64f8c42bd76f0bf,336fa9e3711444332666540f23debf47c8a4e78cd95dfaeac093563eccf5140d
random-64-misses,hash,3,contract,0,0,ubsan,0,36919c6f3d719824b124d6b1974af3f012e5fedf5c9af1c24d210a3c0e2099a4,5678706d7b73d2264bd1cdcca0be440be2dd731990bd3c58cbc71607d2e57a33
random-64-misses,scan,0,contract,0,0,ubsan,0,63d480c43fbc8eaf0af856c9ea458a53e4ef92f2ec72800bb10c370d077f6cef,7af05754803016015c365719d6113954bbf5bff4569d85bb5f06d76d671a4ecf
random-64-misses,scan,1,contract,0,0,ubsan,0,0c407c404d4d434fa13b56a657500d15b7667f3511aa8041b64f8c42bd76f0bf,822af25b8fba30801fa2fea740808d80fa7a45d233d77d4d26d5aef1f2b05b4d
random-64-misses,scan,3,contract,0,0,ubsan,0,36919c6f3d719824b124d6b1974af3f012e5fedf5c9af1c24d210a3c0e2099a4,c5fbc49b9d352c674f45ce3bb5c20795c0e400483539d06f76ee03e2cae147f6
random-64-churn,hash,0,contract,0,0,ubsan,0,f6567b882c6201d926e48324ef70f7aaa60ff85fa718ca676d743998f30764b6,3cd2757b88eef76b856f6fa49d7edbfe6b253a7bd37e0ec1d42538c5df88a900
random-64-churn,hash,1,contract,0,0,ubsan,0,9bc3f2e88cb87d5ddc786d4290e31de3e44bcc16b1625647dbbb7984fa0eb19a,a3ad94048b2bc1560f18c52842bcd4efa1f9ff3a56c1d6a0eb0c8dc8fd69e853
random-64-churn,hash,3,contract,0,0,ubsan,0,267b940cfd4afc40fcc6aed531fd55ca16859f228115d36411443eedd34c3433,77d9484d5513ce03e30e81347686517f3b875131f0dfeb579968ba6d3e166a2f
random-64-churn,scan,0,contract,0,0,ubsan,0,f6567b882c6201d926e48324ef70f7aaa60ff85fa718ca676d743998f30764b6,7af05754803016015c365719d6113954bbf5bff4569d85bb5f06d76d671a4ecf
